procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31471604   5504 6110064    0    0     0     0  853 1386  0  0 100  0  0 2025-08-25 13:15:20
 0  0      0 31471604   5504 6110064    0    0     0     0  851 1391  0  0 100  0  0 2025-08-25 13:15:21
 0  0      0 31471604   5504 6110064    0    0     0     0  836 1367  0  0 100  0  0 2025-08-25 13:15:22
 0  0      0 31471604   5504 6110064    0    0     0     4 4018 4353  0  0 100  0  0 2025-08-25 13:15:23
 0  0      0 31471604   5504 6110064    0    0     0    52  847 1384  0  0 100  0  0 2025-08-25 13:15:24
 0  0      0 31471604   5504 6110064    0    0     0     0  875 1377  0  0 100  0  0 2025-08-25 13:15:25
 0  0      0 31471604   5504 6110064    0    0     0     0  834 1374  0  0 100  0  0 2025-08-25 13:15:26
 1  0      0 31471604   5504 6110064    0    0     0     0  825 1346  0  0 100  0  0 2025-08-25 13:15:27
 0  0      0 31471604   5504 6110064    0    0     0     0  897 1419  0  0 100  0  0 2025-08-25 13:15:28
 0  0      0 31471604   5504 6110064    0    0     0    52  863 1367  0  0 100  0  0 2025-08-25 13:15:29
 0  0      0 31471604   5504 6110064    0    0     0     0  873 1373  0  0 100  0  0 2025-08-25 13:15:30
 1  0      0 31471604   5504 6110064    0    0     0     0  858 1390  0  0 100  0  0 2025-08-25 13:15:31
 0  0      0 31471604   5504 6110064    0    0     0     0  823 1382  0  0 100  0  0 2025-08-25 13:15:32
 1  0      0 31471604   5504 6110064    0    0     0     0  846 1336  0  0 100  0  0 2025-08-25 13:15:33
 0  0      0 31471604   5504 6110064    0    0     0     0  807 1334  0  0 100  0  0 2025-08-25 13:15:34
 1  0      0 31471604   5504 6110064    0    0     0    56  850 1405  0  0 100  0  0 2025-08-25 13:15:35
 0  0      0 31471604   5504 6110064    0    0     0     0  869 1423  0  0 100  0  0 2025-08-25 13:15:36
 0  0      0 31471604   5504 6110064    0    0     0     4  867 1383  0  0 100  0  0 2025-08-25 13:15:37
 0  0      0 31470848   5504 6110080    0    0     0    24  943 1425  0  0 100  0  0 2025-08-25 13:15:38
 0  0      0 31470848   5504 6110080    0    0     0     0  834 1341  0  0 100  0  0 2025-08-25 13:15:39
 0  0      0 31470848   5504 6110080    0    0     0    52 1033 1748  0  0 100  0  0 2025-08-25 13:15:40
 0  0      0 31470848   5504 6110080    0    0     0    17  925 1428  0  0 100  0  0 2025-08-25 13:15:41
 0  0      0 31470848   5504 6110080    0    0     0     0  839 1357  0  0 100  0  0 2025-08-25 13:15:42
 0  0      0 31470848   5504 6110080    0    0     0     0  845 1362  0  0 100  0  0 2025-08-25 13:15:43
 0  0      0 31470848   5504 6110080    0    0     0     0  869 1394  0  0 100  0  0 2025-08-25 13:15:44
 0  0      0 31470848   5504 6110080    0    0     0    52  847 1363  0  0 100  0  0 2025-08-25 13:15:45
